System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:30:06:314, 424075796230106,    0.510,   54.000, 2500,   7.179,   3.659,   1.016,   3.544,   1.807,   0.502, 58,  0,   0.378,   0.192,   0.053,   0.609,   0.311,   0.086,   7.000,  15.000,   0.781,   0.000,   0.000,   55,  15.393
11:30:06:860, 424076393365046,    1.055,   45.000, 2600,   6.880,   7.413,   2.059,   3.366,   3.643,   1.012, 59,  0,   0.343,   0.380,   0.105,   0.551,   0.611,   0.170,   7.000,  15.000,   0.781,   0.000,   0.000,   46,  10.643
11:30:07:411, 424076997150996,    1.607,   52.000, 2400,   6.931,  11.237,   3.121,   3.241,   5.431,   1.509, 58,  0,   0.381,   0.590,   0.164,   0.652,   0.971,   0.270,   7.000,  15.000,   0.781,   0.000,   0.000,   57,  17.597
11:30:07:975, 424077614123539,    2.171,   44.000, 2400,   6.869,  15.110,   4.197,   3.315,   7.300,   2.028, 57,  0,   0.351,   0.788,   0.219,   0.579,   1.297,   0.360,   7.000,  15.000,   0.781,   0.000,   0.000,   47,  11.553
11:30:08:554, 424078248566471,    2.750,   40.000, 2500,   6.919,  19.121,   5.311,   3.186,   9.147,   2.541, 58,  0,   0.432,   1.038,   0.288,   0.567,   1.626,   0.452,   7.000,  15.000,   0.781,   0.000,   0.000,   41,  10.610
11:30:09:095, 424078839966428,    3.291,   37.000, 2700,   6.907,  22.853,   6.348,   3.254,  10.905,   3.029, 57,  0,   0.426,   1.268,   0.352,   0.488,   1.890,   0.525,   7.000,  15.000,   0.781,   0.000,   0.000,   37,   7.887
11:30:09:631, 424079425844745,    3.826,   37.000, 2300,   6.933,  26.565,   7.379,   3.241,  12.640,   3.511, 57,  0,   0.409,   1.487,   0.413,   0.565,   2.193,   0.609,   7.000,  15.000,   0.781,   0.000,   0.000,   40,   8.667
11:30:10:167, 424080012500417,    4.362,   42.000, 2500,   6.838,  30.230,   8.397,   3.213,  14.363,   3.990, 57,  0,   0.420,   1.712,   0.476,   0.480,   2.450,   0.681,   7.000,  15.000,   0.781,   0.000,   0.000,   39,   8.924
11:30:10:738, 424080637902612,    4.934,   38.000, 2800,   6.852,  34.146,   9.485,   3.011,  16.083,   4.468, 58,  0,   0.407,   1.945,   0.540,   0.726,   2.865,   0.796,   7.000,  15.000,   0.781,   0.000,   0.000,   38,   8.253
11:30:11:277, 424081227564900,    5.473,   37.000, 2400,   6.893,  37.860,  10.517,   3.176,  17.795,   4.943, 57,  0,   0.419,   2.170,   0.603,   0.570,   3.172,   0.881,   7.000,  15.000,   0.781,   0.000,   0.000,   40,   8.863
11:30:11:813, 424081814646019,    6.009,   38.000, 2500,   6.826,  41.522,  11.534,   3.197,  19.510,   5.419, 58,  0,   0.414,   2.392,   0.664,   0.490,   3.435,   0.954,   7.000,  15.000,   0.781,   0.000,   0.000,   38,   7.851
11:30:12:354, 424082406332119,    6.550,   39.000, 2500,   6.860,  45.231,  12.564,   3.216,  21.249,   5.902, 58,  0,   0.415,   2.616,   0.727,   0.508,   3.710,   1.031,   7.000,  15.000,   0.781,   0.000,   0.000,   39,   9.411
11:30:12:888, 424082990917649,    7.084,   39.000, 2600,   6.838,  48.884,  13.579,   3.193,  22.954,   6.376, 57,  0,   0.406,   2.833,   0.787,   0.519,   3.987,   1.108,   7.000,  15.000,   0.781,   0.000,   0.000,   39,   8.109
11:30:13:441, 424083595698394,    7.636,   49.000, 2200,   6.923,  52.710,  14.642,   3.213,  24.730,   6.869, 57,  0,   0.435,   3.074,   0.854,   0.547,   4.289,   1.192,   7.000,  15.000,   0.781,   0.000,   0.000,   47,  10.983
11:30:14:027, 424084236919326,    8.222,   47.000, 2200,   6.908,  56.757,  15.766,   3.055,  26.519,   7.367, 57,  0,   0.436,   3.330,   0.925,   0.692,   4.695,   1.304,   7.000,  15.000,   0.781,   0.000,   0.000,   44,  12.859
11:30:14:563, 424084824341406,    8.759,   46.000, 2100,   6.890,  60.456,  16.793,   3.188,  28.230,   7.842, 57,  0,   0.439,   3.565,   0.990,   0.533,   4.981,   1.384,   7.000,  15.000,   0.781,   0.000,   0.000,   47,  11.125
11:30:15:130, 424085444036449,    9.325,   50.000, 2400,   6.859,  64.339,  17.872,   3.180,  30.031,   8.342, 58,  0,   0.441,   3.815,   1.060,   0.511,   5.271,   1.464,   7.000,  15.000,   0.781,   0.000,   0.000,   46,  13.258
11:30:15:681, 424086047400329,    9.877,   49.000, 2300,   6.898,  68.142,  18.928,   3.205,  31.798,   8.833, 57,  0,   0.442,   4.058,   1.127,   0.522,   5.559,   1.544,   7.000,  15.000,   0.781,   0.000,   0.000,   46,  13.537
11:30:16:234, 424086652199863,   10.429,   53.000, 2200,   6.918,  71.966,  19.990,   3.220,  33.577,   9.327, 56,  0,   0.442,   4.302,   1.195,   0.531,   5.852,   1.626,   7.000,  15.000,   0.781,   0.000,   0.000,   44,  14.097
11:30:16:784, 424087254845824,   10.980,   40.000, 2600,   6.831,  75.727,  21.035,   3.193,  35.335,   9.815, 58,  0,   0.412,   4.529,   1.258,   0.510,   6.133,   1.703,   7.000,  15.000,   0.781,   0.000,   0.000,   39,   9.578
