System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
08:31:52:727, 838331305984717,    0.526,   39.000, 2800,   7.908,   4.157,   1.155,   4.042,   2.125,   0.590, 49,  0,   0.332,   0.174,   0.048,   0.879,   0.462,   0.128,   7.000,  15.000,   0.781,   0.000,   0.000,   40,   7.308
08:31:53:250, 838331878494168,    1.049,   36.000, 2800,   7.168,   7.907,   2.196,   3.696,   4.058,   1.127, 48,  0,   0.359,   0.362,   0.101,   0.433,   0.689,   0.191,   7.000,  15.000,   0.781,   0.000,   0.000,   37,   6.100
08:31:53:817, 838332498838605,    1.616,   38.000, 2600,   7.027,  11.890,   3.303,   3.137,   5.836,   1.621, 48,  0,   0.420,   0.600,   0.167,   0.739,   1.108,   0.308,   7.000,  15.000,   0.781,   0.000,   0.000,   37,   6.424
08:31:54:391, 838333127072878,    2.190,   35.000, 2800,   6.884,  15.842,   4.401,   3.082,   7.605,   2.113, 47,  0,   0.420,   0.841,   0.234,   0.656,   1.484,   0.412,   7.000,  15.000,   0.781,   0.000,   0.000,   33,   6.477
08:31:54:923, 838333709737814,    2.722,   35.000, 2800,   6.887,  19.509,   5.419,   3.327,   9.377,   2.605, 48,  0,   0.412,   1.060,   0.295,   0.418,   1.707,   0.474,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   6.241
08:31:55:453, 838334289274310,    3.252,   37.000, 2700,   6.903,  23.164,   6.434,   3.313,  11.131,   3.092, 46,  0,   0.420,   1.283,   0.356,   0.428,   1.933,   0.537,   7.000,  15.000,   0.781,   0.000,   0.000,   38,   6.950
08:31:56:012, 838334901250264,    3.811,   36.000, 2800,   6.889,  27.016,   7.505,   3.136,  12.885,   3.579, 49,  0,   0.416,   1.516,   0.421,   0.611,   2.275,   0.632,   7.000,  15.000,   0.781,   0.000,   0.000,   33,   6.364
08:31:56:546, 838335485775928,    4.345,   36.000, 2800,   6.892,  30.698,   8.527,   3.253,  14.622,   4.062, 49,  0,   0.422,   1.741,   0.484,   0.483,   2.533,   0.704,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   6.569
08:31:57:083, 838336073269280,    4.882,   37.000, 2400,   6.913,  34.408,   9.558,   3.333,  16.411,   4.559, 48,  0,   0.420,   1.966,   0.546,   0.422,   2.760,   0.767,   7.000,  15.000,   0.781,   0.000,   0.000,   36,   6.558
08:31:57:641, 838336683855085,    5.440,   36.000, 2800,   6.876,  38.244,  10.623,   2.928,  18.045,   5.012, 48,  0,   0.417,   2.199,   0.611,   0.808,   3.211,   0.892,   7.000,  15.000,   0.781,   0.000,   0.000,   36,   7.711
08:31:58:193, 838337287972272,    5.992,   40.000, 2700,   6.908,  42.058,  11.683,   3.319,  19.877,   5.521, 48,  0,   0.415,   2.428,   0.674,   0.453,   3.461,   0.961,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   7.037
08:31:58:736, 838337882210189,    6.535,   35.000, 2400,   6.896,  45.802,  12.723,   3.294,  21.665,   6.018, 49,  0,   0.421,   2.656,   0.738,   0.440,   3.700,   1.028,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   6.476
08:31:59:277, 838338473934171,    7.075,   41.000, 2500,   6.875,  49.519,  13.755,   3.301,  23.450,   6.514, 48,  0,   0.421,   2.884,   0.801,   0.427,   3.931,   1.092,   7.000,  15.000,   0.781,   0.000,   0.000,   32,   7.053
08:31:59:807, 838339054820762,    7.606,   37.000, 2800,   6.848,  53.154,  14.765,   3.292,  25.197,   6.999, 48,  0,   0.421,   3.108,   0.863,   0.400,   4.143,   1.151,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   6.607
08:32:00:365, 838339665950905,    8.165,   48.000, 2500,   6.934,  57.026,  15.841,   3.351,  27.068,   7.519, 48,  0,   0.433,   3.349,   0.930,   0.420,   4.378,   1.216,   7.000,  15.000,   0.781,   0.000,   0.000,   39,   8.339
08:32:00:931, 838340285404655,    8.731,   37.000, 2500,   6.907,  60.936,  16.927,   3.110,  28.829,   8.008, 48,  0,   0.417,   3.586,   0.996,   0.660,   4.751,   1.320,   7.000,  15.000,   0.781,   0.000,   0.000,   32,   6.369
08:32:01:463, 838340866262541,    9.261,   36.000, 2600,   6.853,  64.573,  17.937,   3.308,  30.584,   8.496, 49,  0,   0.415,   3.806,   1.057,   0.396,   4.962,   1.378,   7.000,  15.000,   0.781,   0.000,   0.000,   36,   7.319
08:32:01:990, 838341443520797,    9.789,   37.000, 2300,   6.910,  68.218,  18.950,   3.315,  32.333,   8.981, 49,  0,   0.423,   4.029,   1.119,   0.430,   5.189,   1.441,   7.000,  15.000,   0.781,   0.000,   0.000,   32,   6.709
08:32:02:511, 838342013478642,   10.310,   39.000, 2800,   6.837,  71.779,  19.939,   3.273,  34.038,   9.455, 48,  0,   0.424,   4.250,   1.181,   0.402,   5.398,   1.499,   7.000,  15.000,   0.781,   0.000,   0.000,   36,   6.930
08:32:03:063, 838342618289473,   10.862,   36.000, 2800,   6.891,  75.587,  20.996,   3.110,  35.756,   9.932, 49,  0,   0.417,   4.480,   1.245,   0.641,   5.752,   1.598,   7.000,  15.000,   0.781,   0.000,   0.000,   33,   7.207
08:32:03:607, 838343213567658,   11.406,   35.000, 2800,   6.860,  79.318,  22.033,   3.292,  37.547,  10.430, 48,  0,   0.419,   4.708,   1.308,   0.412,   5.976,   1.660,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   6.618
08:32:04:135, 838343791967033,   11.935,   38.000, 2600,   6.910,  82.970,  23.047,   3.338,  39.311,  10.920, 49,  0,   0.419,   4.930,   1.369,   0.419,   6.197,   1.721,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   6.704
08:32:04:670, 838344376864543,   12.469,   37.000, 2700,   6.861,  86.637,  24.066,   3.274,  41.061,  11.406, 48,  0,   0.413,   5.151,   1.431,   0.446,   6.435,   1.788,   7.000,  15.000,   0.781,   0.000,   0.000,   38,   6.874
