System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:56:04:123, 762809643839674,    0.539,   57.000, 2800,   8.559,   4.612,   1.281,   5.420,   2.920,   0.811, 57,  0,   0.359,   0.193,   0.054,   0.106,   0.057,   0.016,   7.000,  15.000,   0.781,   0.000,   0.000,   10,   1.123
14:56:04:659, 762810229315600,    1.074,   48.000, 2300,   6.933,   8.321,   2.311,   3.824,   4.966,   1.379, 55,  0,   0.355,   0.383,   0.106,   0.101,   0.111,   0.031,   7.000,  15.000,   0.781,   0.000,   0.000,    9,   1.414
14:56:05:197, 762810818677792,    1.612,   41.000, 2800,   6.788,  11.976,   3.327,   3.397,   6.795,   1.888, 54,  0,   0.424,   0.612,   0.170,   0.230,   0.235,   0.065,   7.000,  15.000,   0.781,   0.000,   0.000,   10,   0.445
14:56:05:758, 762811432926420,    2.174,   40.000, 2300,   6.994,  15.902,   4.417,   3.456,   8.735,   2.426, 54,  0,   0.418,   0.847,   0.235,   0.388,   0.453,   0.126,   7.000,  15.000,   0.781,   0.000,   0.000,    7,   0.811
14:56:06:288, 762812012966979,    2.704,   48.000, 2800,   6.841,  19.528,   5.424,   3.670,  10.680,   2.967, 55,  0,   0.414,   1.066,   0.296,   0.047,   0.478,   0.133,   7.000,  15.000,   0.781,   0.000,   0.000,    7,   0.458
14:56:06:823, 762812598329766,    3.238,   36.000, 2800,   6.804,  23.167,   6.435,   3.595,  12.603,   3.501, 56,  0,   0.385,   1.272,   0.353,   0.120,   0.542,   0.151,   7.000,  15.000,   0.781,   0.000,   0.000,    8,   1.028
14:56:07:354, 762813178724688,    3.769,   36.000, 2800,   6.785,  26.766,   7.435,   3.600,  14.512,   4.031, 56,  0,   0.382,   1.475,   0.410,   0.095,   0.593,   0.165,   7.000,  15.000,   0.781,   0.000,   0.000,   11,   0.415
14:56:07:894, 762813771064185,    4.310,   36.000, 2800,   6.857,  30.477,   8.466,   3.471,  16.391,   4.553, 56,  0,   0.361,   1.670,   0.464,   0.356,   0.785,   0.218,   7.000,  15.000,   0.781,   0.000,   0.000,    7,   0.844
14:56:08:414, 762814339250945,    4.829,   38.000, 2800,   6.889,  34.053,   9.459,   3.743,  18.334,   5.093, 56,  0,   0.379,   1.867,   0.519,   0.063,   0.818,   0.227,   7.000,  15.000,   0.781,   0.000,   0.000,   14,   0.432
14:56:09:004, 762814984777207,    5.419,   39.000, 2800,   6.856,  38.097,  10.583,   3.511,  20.405,   5.668, 54,  0,   0.340,   2.068,   0.574,   0.373,   1.037,   0.288,   7.000,  15.000,   0.781,   0.000,   0.000,    9,   0.882
