System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:03:21:718, 755408868447095,    0.510,   49.000, 2100,   8.218,   4.189,   1.163,   4.608,   2.348,   0.652, 57,  0,   0.366,   0.187,   0.052,   0.568,   0.290,   0.080,   7.000,  15.000,   0.781,   0.000,   0.000,   41,   8.990
13:03:22:249, 755409449452627,    1.041,   80.000, 1900,   6.952,   7.879,   2.189,   3.515,   4.214,   1.171, 56,  0,   0.403,   0.401,   0.111,   0.372,   0.487,   0.135,   7.000,  15.000,   0.781,   0.000,   0.000,   35,  12.566
13:03:22:812, 755410065734316,    1.604,   85.000, 1700,   6.971,  11.805,   3.279,   3.574,   6.227,   1.730, 57,  0,   0.412,   0.633,   0.176,   0.319,   0.667,   0.185,   7.000,  15.000,   0.781,   0.000,   0.000,   31,  16.106
13:03:23:343, 755410647237831,    2.135,   83.000, 1900,   6.946,  15.496,   4.304,   3.546,   8.111,   2.253, 56,  0,   0.411,   0.851,   0.236,   0.317,   0.836,   0.232,   7.000,  15.000,   0.781,   0.000,   0.000,   30,  19.113
13:03:23:880, 755411234988874,    2.672,   92.000, 1800,   6.955,  19.231,   5.342,   3.402,   9.938,   2.761, 57,  0,   0.496,   1.118,   0.310,   0.305,   1.000,   0.278,   7.000,  15.000,   0.781,   0.000,   0.000,   30,  24.456
13:03:24:443, 755411850888778,    3.235,   81.000, 1700,   6.951,  23.143,   6.429,   3.410,  11.857,   3.294, 57,  0,   0.475,   1.385,   0.385,   0.326,   1.183,   0.329,   7.000,  15.000,   0.781,   0.000,   0.000,   31,  23.992
13:03:25:004, 755412465297871,    3.796,   85.000, 1800,   6.920,  27.028,   7.508,   3.409,  13.771,   3.825, 57,  0,   0.472,   1.650,   0.458,   0.304,   1.354,   0.376,   7.000,  15.000,   0.781,   0.000,   0.000,   29,  22.485
13:03:25:547, 755413059020294,    4.339,   97.000, 1800,   6.955,  30.801,   8.556,   3.396,  15.613,   4.337, 57,  0,   0.507,   1.925,   0.535,   0.292,   1.512,   0.420,   7.000,  15.000,   0.781,   0.000,   0.000,   30,  25.198
13:03:26:102, 755413667369400,    4.895,   96.000, 1700,   6.957,  34.668,   9.630,   3.434,  17.522,   4.867, 56,  0,   0.484,   2.194,   0.609,   0.306,   1.682,   0.467,   7.000,  15.000,   0.781,   0.000,   0.000,   33,  27.253
13:03:26:660, 755414277728577,    5.452,   50.000, 2400,   6.809,  38.466,  10.685,   3.382,  19.408,   5.391, 57,  0,   0.391,   2.412,   0.670,   0.364,   1.885,   0.524,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   9.805
13:03:27:246, 755414917935239,    6.037,   43.000, 2400,   6.866,  42.482,  11.801,   3.231,  21.299,   5.916, 57,  0,   0.336,   2.608,   0.724,   0.683,   2.285,   0.635,   7.000,  15.000,   0.781,   0.000,   0.000,   36,   8.604
13:03:27:835, 755415563770011,    6.627,   66.000, 2500,   6.890,  46.548,  12.930,   3.400,  23.305,   6.474, 58,  0,   0.418,   2.855,   0.793,   0.389,   2.514,   0.698,   7.000,  15.000,   0.781,   0.000,   0.000,   36,  12.759
13:03:28:415, 755416198862324,    7.208,   44.000, 2600,   6.885,  50.544,  14.040,   3.407,  25.282,   7.023, 56,  0,   0.364,   3.066,   0.852,   0.469,   2.786,   0.774,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   9.727
13:03:28:960, 755416794412949,    7.752,   46.000, 2300,   6.886,  54.291,  15.081,   3.409,  27.137,   7.538, 56,  0,   0.368,   3.266,   0.907,   0.456,   3.035,   0.843,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   9.794
13:03:29:500, 755417385214022,    8.292,   45.000, 2000,   6.882,  58.006,  16.113,   3.454,  29.001,   8.056, 57,  0,   0.360,   3.461,   0.961,   0.424,   3.264,   0.907,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   7.369
13:03:30:049, 755417986320844,    8.841,   88.000, 1600,   6.936,  61.816,  17.171,   3.536,  30.944,   8.595, 56,  0,   0.399,   3.679,   1.022,   0.351,   3.457,   0.960,   7.000,  15.000,   0.781,   0.000,   0.000,   35,  15.204
13:03:30:622, 755418613578972,    9.414,   87.000, 2100,   6.930,  65.788,  18.275,   3.437,  32.913,   9.143, 56,  0,   0.426,   3.924,   1.090,   0.389,   3.679,   1.022,   7.000,  15.000,   0.781,   0.000,   0.000,   40,  19.167
13:03:31:214, 755419260847386,   10.006,   75.000, 1900,   6.938,  69.892,  19.414,   3.468,  34.964,   9.712, 57,  0,   0.411,   4.167,   1.157,   0.391,   3.910,   1.086,   7.000,  15.000,   0.781,   0.000,   0.000,   37,  19.502
13:03:31:789, 755419890691357,   10.581,   52.000, 2300,   6.877,  73.850,  20.514,   3.301,  36.864,  10.240, 57,  0,   0.414,   4.405,   1.224,   0.470,   4.181,   1.161,   7.000,  15.000,   0.781,   0.000,   0.000,   41,  12.186
13:03:32:367, 755420522804336,   11.159,   54.000, 2300,   6.931,  77.853,  21.626,   3.159,  38.688,  10.747, 57,  0,   0.444,   4.661,   1.295,   0.609,   4.532,   1.259,   7.000,  15.000,   0.781,   0.000,   0.000,   47,  17.579
13:03:32:913, 755421120543580,   11.705,   53.000, 2000,   6.926,  81.635,  22.676,   3.255,  40.466,  11.241, 57,  0,   0.432,   4.897,   1.360,   0.529,   4.821,   1.339,   7.000,  15.000,   0.781,   0.000,   0.000,   46,  15.736
13:03:33:474, 755421734930844,   12.266,   47.000, 2500,   6.816,  85.462,  23.739,   3.333,  42.338,  11.761, 57,  0,   0.398,   5.121,   1.422,   0.403,   5.048,   1.402,   7.000,  15.000,   0.781,   0.000,   0.000,   36,  10.052
13:03:34:030, 755422343080182,   12.822,   83.000, 1200,   7.039,  89.373,  24.826,   2.928,  43.965,  12.213, 57,  0,   0.491,   5.394,   1.498,   0.873,   5.533,   1.537,   7.000,  15.000,   0.781,   0.000,   0.000,   88,  59.071
13:03:34:645, 755423016410773,   13.437,   90.000, 1500,   6.989,  93.673,  26.020,   2.775,  45.673,  12.687, 56,  0,   0.531,   5.720,   1.589,   0.921,   6.099,   1.694,   7.000,  15.000,   0.781,   0.000,   0.000,   87,  80.899
13:03:35:218, 755423643722989,   14.010,   60.000, 2100,   6.947,  97.656,  27.127,   2.854,  47.308,  13.141, 57,  0,   0.484,   5.998,   1.666,   0.855,   6.589,   1.830,   7.000,  15.000,   0.781,   0.000,   0.000,   66,  57.538
13:03:35:782, 755424260294338,   14.574,   52.000, 2300,   6.884, 101.534,  28.204,   3.341,  49.191,  13.664, 58,  0,   0.424,   6.237,   1.732,   0.418,   6.825,   1.896,   7.000,  15.000,   0.781,   0.000,   0.000,   38,  11.270
13:03:36:356, 755424889020153,   15.148,   85.000, 1600,   6.983, 105.546,  29.318,   2.944,  50.882,  14.134, 57,  0,   0.511,   6.530,   1.814,   0.768,   7.266,   2.018,   7.000,  15.000,   0.781,   0.000,   0.000,   84,  56.768
13:03:37:001, 755425594157844,   15.793,   65.000, 1400,   6.990, 110.050,  30.569,   2.639,  52.583,  14.606, 57,  0,   0.513,   6.861,   1.906,   1.061,   7.949,   2.208,   7.000,  15.000,   0.781,   0.000,   0.000,   91,  63.174
13:03:37:588, 755426236508065,   16.380,   76.000, 2500,   6.909, 114.105,  31.696,   2.891,  54.279,  15.078, 58,  0,   0.517,   7.164,   1.990,   0.733,   8.380,   2.328,   7.000,  15.000,   0.781,   0.000,   0.000,   71,  82.667
13:03:38:145, 755426846751276,   16.937,   44.000, 2000,   6.892, 117.948,  32.763,   3.389,  56.169,  15.602, 56,  0,   0.384,   7.378,   2.050,   0.448,   8.630,   2.397,   7.000,  15.000,   0.781,   0.000,   0.000,   37,  12.083
13:03:38:691, 755427444175109,   17.483,   42.000, 2600,   6.815, 121.668,  33.797,   3.258,  57.948,  16.097, 56,  0,   0.406,   7.600,   2.111,   0.449,   8.875,   2.465,   7.000,  15.000,   0.781,   0.000,   0.000,   36,   8.243
13:03:39:223, 755428026120585,   18.015,   43.000, 2600,   6.852, 125.312,  34.809,   3.313,  59.709,  16.586, 57,  0,   0.404,   7.815,   2.171,   0.439,   9.108,   2.530,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   8.338
13:03:39:770, 755428624180789,   18.561,   60.000, 2800,   6.864, 129.063,  35.851,   3.315,  61.521,  17.089, 58,  0,   0.444,   8.057,   2.238,   0.391,   9.322,   2.589,   7.000,  15.000,   0.781,   0.000,   0.000,   33,   9.825
13:03:40:299, 755429203036160,   19.090,   42.000, 2300,   6.912, 132.719,  36.866,   3.347,  63.291,  17.581, 57,  0,   0.397,   8.267,   2.296,   0.474,   9.572,   2.659,   7.000,  15.000,   0.781,   0.000,   0.000,   38,   7.629
13:03:40:864, 755429822634043,   19.656,   42.000, 2400,   6.864, 136.605,  37.946,   3.139,  65.068,  18.075, 57,  0,   0.390,   8.488,   2.358,   0.651,   9.941,   2.761,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   7.842
13:03:41:408, 755430417279819,   20.200,   41.000, 2500,   6.854, 140.329,  38.980,   3.301,  66.862,  18.573, 58,  0,   0.403,   8.707,   2.419,   0.449,  10.185,   2.829,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   8.210
13:03:41:951, 755431011870493,   20.743,   45.000, 2400,   6.859, 144.056,  40.015,   3.341,  68.677,  19.077, 57,  0,   0.394,   8.921,   2.478,   0.437,  10.423,   2.895,   7.000,  15.000,   0.781,   0.000,   0.000,   37,   8.280
13:03:42:494, 755431606088673,   21.286,   48.000, 2300,   6.884, 147.793,  41.054,   3.332,  70.486,  19.580, 58,  0,   0.412,   9.145,   2.540,   0.441,  10.663,   2.962,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   8.053
